team_id,team_abbr,team_name,team_city,conference,division,arena_name,arena_capacity,market_size_tier,historical_popularity_score
1,ATL,Atlanta Flyers,Atlanta,East,Southeast,Peach State Arena,19621,Large,0.72
2,BOS,Boston Harbors,Boston,East,Atlantic,Harbor Center,19156,Large,0.91
3,BKN,Brooklyn Bridgers,Brooklyn,East,Atlantic,Bridge Arena,17732,Large,0.78
4,CHA,Charlotte Crowns,Charlotte,East,Southeast,Crown Coliseum,19077,Medium,0.61
5,CHI,Chicago Cyclones,Chicago,East,Central,Lakefront Center,20917,Large,0.83
6,CLE,Cleveland Comets,Cleveland,East,Central,Lakeside Arena,19432,Medium,0.74
7,DAL,Dallas Wranglers,Dallas,West,Southwest,Lone Star Center,19200,Large,0.76
8,DEN,Denver Peaks,Denver,West,Northwest,Mile High Arena,19520,Medium,0.69
9,DET,Detroit Motors,Detroit,East,Central,Motor City Arena,20491,Medium,0.58
10,GSF,San Francisco Waves,San Francisco,West,Pacific,Bay Arena,18064,Large,0.95
11,HOU,Houston Meteors,Houston,West,Southwest,Space City Center,18055,Large,0.71
12,IND,Indianapolis Racers,Indianapolis,East,Central,Speedway Fieldhouse,17923,Medium,0.65
13,LAB,Los Angeles Blaze,Los Angeles,West,Pacific,Metro Arena,19060,Large,0.73
14,LAS,Los Angeles Stars,Los Angeles,West,Pacific,Metro Arena,19060,Large,0.97
15,MEM,Memphis Blues,Memphis,West,Southwest,Bluff City Forum,17794,Small,0.62
16,MIA,Miami Storm,Miami,East,Southeast,Bayfront Arena,19600,Large,0.84
17,MIL,Milwaukee Barons,Milwaukee,East,Central,Lakefront Forum,17341,Medium,0.8
18,MIN,Minneapolis Northstars,Minneapolis,West,Northwest,North Star Center,18978,Medium,0.6
19,NOR,New Orleans Crescents,New Orleans,West,Southwest,Crescent Center,16867,Small,0.59
20,NYE,New York Empire,New York,East,Atlantic,Empire Garden,19812,Large,0.88
21,OKC,Oklahoma City Outlaws,Oklahoma City,West,Northwest,Prairie Center,18203,Small,0.67
22,ORL,Orlando Rays,Orlando,East,Southeast,Sunshine Arena,18846,Medium,0.57
23,PHI,Philadelphia Founders,Philadelphia,East,Atlantic,Liberty Center,20478,Large,0.81
24,PHX,Phoenix Firebirds,Phoenix,West,Pacific,Desert Center,17125,Large,0.86
25,POR,Portland Pines,Portland,West,Northwest,Rose District Arena,19393,Medium,0.7
26,SAC,Sacramento Capitals,Sacramento,West,Pacific,Capitol One Arena,17608,Medium,0.63
27,SAT,San Antonio Legends,San Antonio,West,Southwest,Alamo Center,18418,Medium,0.75
28,TOR,Toronto Towers,Toronto,East,Atlantic,Tower Arena,19800,Large,0.79
29,SLC,Salt Lake Summit,Salt Lake City,West,Northwest,Summit Center,18206,Medium,0.68
30,WAS,Washington Republic,Washington,East,Southeast,Capitol Arena,20356,Large,0.66
