team_id,team_abbr,team_name,team_city,conference,division,arena_name,arena_capacity,market_size_tier,historical_popularity_score
1,ATL,Atlanta Hawks,Atlanta,East,Southeast,State Farm Arena,19621,Large,0.72
2,BOS,Boston Celtics,Boston,East,Atlantic,TD Garden,19156,Large,0.91
3,BKN,Brooklyn Nets,Brooklyn,East,Atlantic,Barclays Center,17732,Large,0.78
4,CHA,Charlotte Hornets,Charlotte,East,Southeast,Spectrum Center,19077,Medium,0.61
5,CHI,Chicago Bulls,Chicago,East,Central,United Center,20917,Large,0.83
6,CLE,Cleveland Cavaliers,Cleveland,East,Central,Rocket Mortgage Arena,19432,Medium,0.74
7,DAL,Dallas Mavericks,Dallas,West,Southwest,American Airlines Center,19200,Large,0.76
8,DEN,Denver Nuggets,Denver,West,Northwest,Ball Arena,19520,Medium,0.69
9,DET,Detroit Pistons,Detroit,East,Central,Little Caesars Arena,20491,Medium,0.58
10,GSW,Golden State Warriors,San Francisco,West,Pacific,Chase Center,18064,Large,0.95
11,HOU,Houston Rockets,Houston,West,Southwest,Toyota Center,18055,Large,0.71
12,IND,Indiana Pacers,Indianapolis,East,Central,Gainbridge Fieldhouse,17923,Medium,0.65
13,LAC,LA Clippers,Los Angeles,West,Pacific,Crypto.com Arena,19060,Large,0.73
14,LAL,LA Lakers,Los Angeles,West,Pacific,Crypto.com Arena,19060,Large,0.97
15,MEM,Memphis Grizzlies,Memphis,West,Southwest,FedExForum,17794,Small,0.62
16,MIA,Miami Heat,Miami,East,Southeast,FTX Arena,19600,Large,0.84
17,MIL,Milwaukee Bucks,Milwaukee,East,Central,Fiserv Forum,17341,Medium,0.8
18,MIN,Minnesota Timberwolves,Minneapolis,West,Northwest,Target Center,18978,Medium,0.6
19,NOP,New Orleans Pelicans,New Orleans,West,Southwest,Smoothie King Center,16867,Small,0.59
20,NYK,New York Knicks,New York,East,Atlantic,Madison Square Garden,19812,Large,0.88
21,OKC,Oklahoma City Thunder,Oklahoma City,West,Northwest,Paycom Center,18203,Small,0.67
22,ORL,Orlando Magic,Orlando,East,Southeast,Amway Center,18846,Medium,0.57
23,PHI,Philadelphia 76ers,Philadelphia,East,Atlantic,Wells Fargo Center,20478,Large,0.81
24,PHX,Phoenix Suns,Phoenix,West,Pacific,Footprint Center,17125,Large,0.86
25,POR,Portland Trail Blazers,Portland,West,Northwest,Moda Center,19393,Medium,0.7
26,SAC,Sacramento Kings,Sacramento,West,Pacific,Golden 1 Center,17608,Medium,0.63
27,SAS,San Antonio Spurs,San Antonio,West,Southwest,AT&T Center,18418,Medium,0.75
28,TOR,Toronto Raptors,Toronto,East,Atlantic,Scotiabank Arena,19800,Large,0.79
29,UTA,Utah Jazz,Salt Lake City,West,Northwest,Delta Center,18206,Medium,0.68
30,WAS,Washington Wizards,Washington,East,Southeast,Capital One Arena,20356,Large,0.66
